post_text,label
147 students killed in #GarissaAttack by #AlShabaab Condolences from #UAntwerpen. http://t.co/eUxGUgIyOP,1
WHY “@joansalihi: The horror image from inside campus #GarissaAttack 147 students reported killed from attack. http://t.co/by1m2ASvEe”,1
"Real-Time Drone-Glider-Satellite Infrared, Thermal And X-ray Surveillance: #GarissaAttack Death Toll 236 ~ April 3rd. http://t.co/Y7VYSNcVl4",1
"\""@TRENDINGKENYA: \""@joansalihi: The image from inside #Kenya campus #GarissaAttack 147 students reported killed http://t.co/6piV9lHc9L\""",1
Our innocent brothers&amp;sisters shot dead in the #Garissaattack massacre...this is really really painful. http://t.co/QZTGSJQPlM,1
"This is horrendous. Beyond words. Another Muslim extremist attack, killed 147 young people. #GarissaAttack http://t.co/oJvDu2r8Rw",1
Horrific attack in kenya leaves 147 students dead in #GarissaAttack. Somali terrorist group to blame. Despicable. http://t.co/zYmpKPJpND,1
Horror image from inside #Kenya campus.#GarissaAttack 147 students reported killed from #AlShabaab attack.\n#terror http://t.co/TYXfeJKGNF,1
The horror image from inside #Kenya campus #GarissaAttack atleast 147 students reported killed from #AlShabaab attack http://t.co/UVXxkVAJLK,1
The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/D3UVkR7HBO”crazy.,1
"\""The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack.#NEWS! http://t.co/LL0vlasqHl",1
"The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/XMsuLqYxAD\""",1
#религия_мира\nRT @joansalihi: The horror image from inside #Kenya campus #GarissaAttack 147 killed #AlShabaab attack http://t.co/xtEfkK6jKk,1
The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/SxOByAWssl” 😯😢,1
"Sad!! The horror image from inside #Kenya campus #GarissaAttack 147 students reported killed from #AlShabaab attack. http://t.co/qMC5mcvtJi\""",1
Islam is a religion of peace!! Dear Muslims prove it!!!  #GarissaAttack http://t.co/VWeFQjkdss,1
The latest instalment in the global Christian genocide #GarissaAttack http://t.co/LT2VoUXAcz,1
“@unclemeat80: The latest instalment in the global Christian genocide #GarissaAttack http://t.co/Wmt13dsg5F”  this 🌍,1
149 #Christian students shot dead &amp; +99 injured in #GarissaAttack by #AlShabaab purely on religious grounds. #Kenya http://t.co/9xNKd36Izk,1
"In honor of our fellow Students, we pray the govt of @UKenyatta is wins &amp; stops the #GarissaAttack, etc #RIPWanaInchi http://t.co/UXnS2jpguL",1
The horror image from inside #Kenya campus #GarissaAttack atleast 147 students reported killed from #AlShabaab attack http://t.co/UVXxkVAJLK,1
#BREAKING \n🔴WARNING! 🔞📷GRAPHIC CONTENT🔞\nDeath toll rises to 147 in #GarissaAttack #Kenya http://t.co/BxsxYNJdtm,1
it hurts : @joansalihi : The image from\ninside #Kenya campus #\nGarissaAttack 147 students\nreported killed\nhttp://t.co/xkja3ejfSy,1
